"Timestamp","Please rate the following statements about the eMAS system. [The system interface is easy to navigate.]","Please rate the following statements about the eMAS system. [The dashboard helps me understand the factory status.]","Please rate the following statements about the eMAS system. [Job and inventory information can be found easily.]","Please rate the following statements about the eMAS system. [The scheduling result is understandable.]","Please rate the following statements about the eMAS system. [The shortage-resolution result clearly explains the material problem.]","Please rate the following statements about the eMAS system. [The AI assistant understands factory-related questions.]","Please rate the following statements about the eMAS system. [The AI assistant provides useful information for decision-making.]","Please rate the following statements about the eMAS system. [The approval workflow makes data-changing actions feel safer.]","Please rate the following statements about the eMAS system. [The system can reduce manual checking work compared with doing the task manually.]","Please rate the following statements about the eMAS system. [Overall, the system is useful for factory-management support.]"
"2026/06/20 11:15:31 AM GMT+8","5 - Strongly Agree","4 - Agree","5 - Strongly Agree","5 - Strongly Agree","5 - Strongly Agree","5 - Strongly Agree","4 - Agree","4 - Agree","4 - Agree","5 - Strongly Agree"
"2026/06/20 11:15:48 AM GMT+8","5 - Strongly Agree","4 - Agree","4 - Agree","4 - Agree","4 - Agree","5 - Strongly Agree","4 - Agree","4 - Agree","4 - Agree","5 - Strongly Agree"
"2026/06/20 11:16:19 AM GMT+8","5 - Strongly Agree","5 - Strongly Agree","4 - Agree","5 - Strongly Agree","5 - Strongly Agree","4 - Agree","5 - Strongly Agree","4 - Agree","5 - Strongly Agree","5 - Strongly Agree"
"2026/06/20 11:16:31 AM GMT+8","5 - Strongly Agree","5 - Strongly Agree","3 - Neutral","4 - Agree","5 - Strongly Agree","4 - Agree","5 - Strongly Agree","4 - Agree","5 - Strongly Agree","5 - Strongly Agree"
"2026/06/20 11:16:42 AM GMT+8","5 - Strongly Agree","5 - Strongly Agree","5 - Strongly Agree","4 - Agree","5 - Strongly Agree","5 - Strongly Agree","5 - Strongly Agree","5 - Strongly Agree","5 - Strongly Agree","5 - Strongly Agree"
"2026/06/20 11:17:21 AM GMT+8","5 - Strongly Agree","5 - Strongly Agree","4 - Agree","5 - Strongly Agree","5 - Strongly Agree","5 - Strongly Agree","4 - Agree","5 - Strongly Agree","5 - Strongly Agree","5 - Strongly Agree"
"2026/06/20 11:17:47 AM GMT+8","5 - Strongly Agree","5 - Strongly Agree","4 - Agree","4 - Agree","5 - Strongly Agree","5 - Strongly Agree","4 - Agree","4 - Agree","4 - Agree","5 - Strongly Agree"
"2026/06/20 11:17:58 AM GMT+8","5 - Strongly Agree","5 - Strongly Agree","5 - Strongly Agree","5 - Strongly Agree","5 - Strongly Agree","5 - Strongly Agree","4 - Agree","5 - Strongly Agree","5 - Strongly Agree","5 - Strongly Agree"
"2026/06/20 11:18:10 AM GMT+8","5 - Strongly Agree","5 - Strongly Agree","5 - Strongly Agree","5 - Strongly Agree","5 - Strongly Agree","5 - Strongly Agree","5 - Strongly Agree","5 - Strongly Agree","5 - Strongly Agree","5 - Strongly Agree"
"2026/06/20 11:20:05 AM GMT+8","5 - Strongly Agree","4 - Agree","5 - Strongly Agree","5 - Strongly Agree","5 - Strongly Agree","5 - Strongly Agree","5 - Strongly Agree","5 - Strongly Agree","5 - Strongly Agree","5 - Strongly Agree"
